epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,28477.8,1.033,0.69232,1.12766,0.81825,0.76427,0.82782,0.51191,1.03124,0.82483,1.02126,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,28851.7,1.02316,0.67969,1.11824,0.81489,0.76728,0.82783,0.51271,1.03102,0.8206,1.02124,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,29223.8,1.02395,0.68079,1.12058,0.81927,0.76223,0.82803,0.51292,1.03047,0.81629,1.0211,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,29596.5,1.02941,0.68633,1.1335,0.81762,0.7621,0.82677,0.51318,1.03046,0.81338,1.02097,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,29971.7,1.01227,0.66654,1.10981,0.82637,0.75519,0.82732,0.51386,1.0302,0.81182,1.02085,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,30345.9,1.00901,0.66355,1.11133,0.82502,0.7554,0.82744,0.51377,1.03066,0.81031,1.02122,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,30727.5,1.00382,0.67446,1.10868,0.8266,0.75525,0.8273,0.51416,1.03069,0.80626,1.02128,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,31111.2,1.013,0.66548,1.11678,0.82712,0.75535,0.82732,0.51387,1.03001,0.80382,1.02098,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,31498,1.00433,0.66523,1.11436,0.828,0.75563,0.82761,0.51448,1.02975,0.80154,1.02096,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,31885.2,0.99206,0.6613,1.11504,0.82865,0.75492,0.8277,0.51472,1.02946,0.79797,1.02103,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
