epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,33965.1,0.50269,0.48052,0.21414,0.81428,0.76055,0.80559,0.46815,0.29688,0.50689,0.19435,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,34614.8,0.49197,0.47963,0.20927,0.81502,0.76901,0.80826,0.47077,0.29573,0.50276,0.19433,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,35263.3,0.46482,0.47421,0.19989,0.81111,0.77643,0.80873,0.47245,0.29533,0.49033,0.19477,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,35915.3,0.49839,0.47234,0.20379,0.81534,0.76605,0.80629,0.46978,0.29604,0.50439,0.19433,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,36570.6,0.46447,0.4768,0.1935,0.81127,0.77095,0.80589,0.46894,0.2963,0.51652,0.19603,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,37223.6,0.45768,0.48042,0.19706,0.80831,0.76835,0.80533,0.46974,0.29692,0.50819,0.19594,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,37883.2,0.46333,0.47046,0.19717,0.8179,0.76951,0.80757,0.47082,0.29573,0.50213,0.19587,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,38538.6,0.44763,0.4551,0.18935,0.82521,0.76407,0.80851,0.4702,0.29472,0.50009,0.19643,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,39191.8,0.43872,0.46205,0.18411,0.82813,0.7634,0.80897,0.47243,0.29444,0.49179,0.19737,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,39837.8,0.41215,0.41589,0.17923,0.82692,0.76793,0.80933,0.47148,0.29492,0.48295,0.19814,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
