epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,11989.5,1.35036,1.09359,1.2973,0.7734,0.69737,0.7739,0.45249,1.37176,1.30302,1.26846,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,12280.8,1.34202,1.1101,1.29568,0.76548,0.71099,0.77825,0.45463,1.37858,1.31837,1.27041,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,12573.8,1.33775,1.07581,1.2908,0.75442,0.72351,0.77892,0.45743,1.37742,1.335,1.27222,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,12866.6,1.34868,1.08261,1.29598,0.76499,0.70856,0.77954,0.45534,1.37881,1.1669,1.27336,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,13158.9,1.33811,1.06115,1.29585,0.76266,0.7134,0.7808,0.4572,1.37032,1.23364,1.26671,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,13449.3,1.33372,1.06504,1.29217,0.77675,0.71274,0.78091,0.45694,1.36466,1.16125,1.26013,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,13740.9,1.32744,1.0688,1.28077,0.75512,0.72644,0.77776,0.45667,1.35873,1.23476,1.25828,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,14032.5,1.34346,1.06306,1.28999,0.77937,0.71768,0.7837,0.46193,1.35806,1.28881,1.25612,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,14321.1,1.33482,1.05498,1.28622,0.76492,0.72863,0.78582,0.46172,1.35575,1.18601,1.25285,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,14609.3,1.33197,1.04602,1.28142,0.77074,0.7279,0.78682,0.46338,1.35837,1.13633,1.25073,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
